country,iso_code,date,Population,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
Netherlands,NLD,02/02/2021,17332850.00,,,,,29384,,,,1715,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",National Institute for Public Health and the Environment,https://www.rivm.nl/covid-19-vaccinatie/cijfers-vaccinatieprogramma
United Kingdom,,02/02/2021,66834405.00,271826,246671,25155,13515,11539,14.35,13.03,1.33,6093,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
Norway,NOR,02/02/2021,5347896.00,139157,115240,23917,9490,7529,2.57,2.13,0.44,1389,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Norwegian Institute of Public Health,https://www.fhi.no/sv/vaksine/koronavaksinasjonsprogrammet/koronavaksinasjonsstatistikk/
Oman,OMN,02/02/2021,5266535.00,,,,,270,,,,53,"Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://twitter.com/OmaniMOH/status/1369577366708699140/photo/1
Pakistan,PAK,02/02/2021,216565318.00,0,0,,,,0,0,,,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",National Command and Operation Centre,https://www.geo.tv/latest/336163-56m-coronavirus-vaccine-doses-to-arrive-pakistan-in-march
Panama,PAN,02/02/2021,4246439.00,12013,,,1464,645,0.28,,,149,Pfizer/BioNTech,Ministry of Health,https://twitter.com/MINSAPma/status/1370521877278494720/photo/1
Poland,POL,02/02/2021,37970874.00,1342435,1053245,289190,110719,62425,3.55,2.78,0.76,1649,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.gov.pl/web/szczepimysie/raport-szczepien-przeciwko-covid-19
Portugal,PRT,02/02/2021,10269417.00,342119,271424,70695,3553,11231,3.36,2.66,0.69,1101,"Moderna, Pfizer/BioNTech",General Directorate of Health via Data Science for Social Good,https://github.com/dssg-pt/covid19pt-data
Qatar,QAT,02/02/2021,2832067.00,,,,,3447,,,,1196,Pfizer/BioNTech,National Strategic Group on COVID-19,https://twitter.com/MOPHQatar/status/1368573172711370756
Romania,ROU,02/02/2021,19356544.00,748732,610384,138348,27548,31479,3.89,3.17,0.72,1636,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Romania,https://datelazi.ro/
Russia,RUS,02/02/2021,144373535.00,,,,,103571,,,,710,"EpiVacCorona, Sputnik V",Official data from local governments via gogov.ru,https://gogov.ru/articles/covid-v-stats
Saudi Arabia,SAU,02/02/2021,34268528.00,,,,,10489,,,,301,"Oxford/AstraZeneca, Pfizer/BioNTech",Saudi Health Council,https://coronamap.sa
United Kingdom,,02/02/2021,66834405.00,658020,649262,8758,38897,27047,12.04,11.88,0.16,4951,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
Serbia,SRB,02/02/2021,6944975.00,495964,495964,,,25209,7.29,7.29,,3705,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Government of Serbia,https://www.rts.rs/page/stories/sr/%D0%9A%D0%BE%D1%80%D0%BE%D0%BD%D0%B0%D0%B2%D0%B8%D1%80%D1%83%D1%81/story/3134/koronavirus-u-srbiji/4292355/koronavirus-srbija-mere-vikend-zatvaranja.html
Seychelles,SYC,02/02/2021,97625.00,36284,36284,,1205,1939,36.9,36.9,,19717,"Oxford/AstraZeneca, Sinopharm/Beijing",Extended Programme for Immunisation,https://www.facebook.com/mohseychellesofficial/photos/pcb.1682413525293105/1682413471959777/
Singapore,SGP,02/02/2021,5703569.00,181000,175000,6000,,11223,3.09,2.99,0.1,1918,Pfizer/BioNTech,Ministry of Health,https://www.moh.gov.sg/covid-19
Slovakia,SVK,02/02/2021,5454073.00,173232,157342,15890,12257,7775,3.17,2.88,0.29,1424,Pfizer/BioNTech,Ministry of Health,https://github.com/Institut-Zdravotnych-Analyz/covid19-data
Slovenia,SVN,02/02/2021,2087946.00,81375,54216,27159,1111,2388,3.91,2.61,1.31,1149,"Oxford/AstraZeneca, Pfizer/BioNTech","National Institute of Public Health, via Sledilnik",https://covid-19.sledilnik.org/en/stats
Spain,ESP,02/02/2021,47076781.00,1764778,1265800,498978,91724,58331,3.77,2.71,1.07,1248,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_GIV_comunicacion_20210312.ods
Sri Lanka,LKA,02/02/2021,21803000.00,118767,,,23217,23753,0.55,,,1109,Oxford/AstraZeneca,Ministry of Health,https://twitter.com/Rumindahg/status/1370583763676131331
Sweden,SWE,02/02/2021,10285453.00,,,,,12874,,,,1275,"Oxford/AstraZeneca, Pfizer/BioNTech",Public Health Agency of Sweden,https://www.folkhalsomyndigheten.se/smittskydd-beredskap/utbrott/aktuella-utbrott/covid-19/vaccination-mot-covid-19/statistik/statistik-over-registrerade-vaccinationer-covid-19/
Switzerland,CHE,02/02/2021,8574832.00,329358,,,7969,16618,3.81,,,1920,"Moderna, Pfizer/BioNTech",Federal Office of Public Health,https://www.covid19.admin.ch/en/epidemiologic/vacc-doses?detGeo=CH
Turkey,TUR,02/02/2021,83429615.00,2229233,,,92934,116994,2.64,,,1387,Sinovac,COVID-19 Vaccine Information Platform,https://covid19asi.saglik.gov.tr/
Turks and Caicos Islands,TCA,02/02/2021,42953.00,,,,,222,,,,5734,Pfizer/BioNTech,Ministry of Health,https://www.facebook.com/tcihealthpromotions/posts/1892840824219198
United Arab Emirates,ARE,02/02/2021,9770529.00,3564517,,,123740,126692,36.04,,,12810,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinopharm/Wuhan, Sputnik V",National Emergency Crisis and Disaster Management Authority,https://fcsc.gov.ae/en-us/Pages/Covid19/UAE-Covid-19-Updates.aspx
United Kingdom,GBR,02/02/2021,66834405.00,10520433,10021471,498962,376922,411699,15.5,14.76,0.73,6065,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
United States,USA,02/02/2021,328239523.00,32780860,26440836,6064792,558458,1319981,9.8,7.91,1.81,3947,"Johnson&Johnson, Moderna, Pfizer/BioNTech",Centers for Disease Control and Prevention,https://covid.cdc.gov/covid-data-tracker/#vaccinations
United Kingdom,,02/02/2021,66834405.00,463657,462497,1160,22951,21530,14.71,14.67,0.04,6829,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
Albania,ALB,01/02/2021,2854191.00,,,,,,,,,,Pfizer/BioNTech,Ministry of Health,https://shendetesia.gov.al/covid19-ministria-e-shendetesise-702-te-vaksinuar-3035-testime-714-te-sheruar-631-raste-te-reja-dhe-17-humbje-jete-ne-24-oret-e-fundit/
Algeria,DZA,01/02/2021,43053054.00,,,,,2509,,,,57,Sputnik V,Ministry of Health,https://www.echoroukonline.com/%d9%84%d9%82%d8%a7%d8%ad-%d9%83%d9%88%d8%b1%d9%88%d9%86%d8%a7-%d8%b9%d8%b6%d9%88-%d8%a8%d8%a7%d9%84%d9%84%d8%ac%d9%86%d8%a9-%d8%a7%d9%84%d8%b9%d9%84%d9%85%d9%8a%d8%a9-%d9%8a%d9%83%d8%b4%d9%81-%d8%b9/
Andorra,AND,01/02/2021,77142.00,1036,1036,,,66,1.34,1.34,,854,Pfizer/BioNTech,Government of Andorra,https://www.govern.ad/comunicats/item/12516-la-campanya-de-vacunacio-passara-a-la-fase-3-a-finals-d-aquesta-setmana
Argentina,ARG,01/02/2021,44938712.00,375851,281577,94274,,11924,0.83,0.62,0.21,264,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina
Austria,AUT,01/02/2021,8877067.00,255242,231024,24218,4372,7085,2.83,2.57,0.27,787,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://info.gesundheitsministerium.gv.at/opendata/
Azerbaijan,AZE,01/02/2021,10023318.00,,,,,3250,,,,321,Sinovac,Government of Azerbaijan,https://koronavirusinfo.az/az/post/696
Bahrain,BHR,01/02/2021,1501635.00,,172912,,,7712,,10.16,,4532,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health,https://healthalert.gov.bh/en/
Bangladesh,BGD,01/02/2021,167310838.00,,,,,2134,,,,13,Oxford/AstraZeneca,Directorate General of Health Services,https://dghs.gov.bd/images/docs/Press%20Release/Covid-19-Vaccination-Update-11-3-2021.pdf
Belarus,BLR,01/02/2021,9466856.00,,,,,403,,,,43,Sputnik V,Ministry of Health,https://tkm.by/2021/02/immunizaciya-medrabotnikov-v-belarusi-pervym-komponentom-vakciny-sputnik-v-zavershilas/
Belgium,BEL,01/02/2021,11484055.00,340329,312272,28057,7647,12028,2.94,2.69,0.24,1038,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Sciensano,https://epistat.wiv-isp.be/covid/
Bermuda,BMU,01/02/2021,63918.00,,,,,372,,,,5974,Pfizer/BioNTech,Government of Bermuda,https://bernews.com/2021/03/27727-total-vaccinations-administered/
Bolivia,BOL,01/02/2021,11513100.00,570,,,503,142,0,,,12,Sputnik V,Ministry of Health,https://twitter.com/SaludDeportesBo/status/1370551583285649411
Brazil,BRA,01/02/2021,212559417.00,2124307,2107624,,50248,203386,1,0.99,,957,"Oxford/AstraZeneca, Sinovac",Ministry of Health,https://viz.saude.gov.br/extensions/DEMAS_C19Vacina/DEMAS_C19Vacina.html
Bulgaria,BGR,01/02/2021,6975761.00,42634,28978,13656,1509,2262,0.61,0.42,0.2,326,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://coronavirus.bg/bg/statistika
Canada,CAN,01/02/2021,37589262.00,975492,859175,116317,18263,19363,2.58,2.28,0.31,513,"Moderna, Pfizer/BioNTech",Official data from provinces via covid19tracker.ca,https://covid19tracker.ca/vaccinationtracker.html
Cayman Islands,CYM,01/02/2021,71100.00,,,,,275,,,,4184,Pfizer/BioNTech,Cayman Islands Government,https://www.exploregov.ky/coronavirus-news
Chile,CHL,01/02/2021,18952038.00,67401,57001,10400,0,94,0.35,0.3,0.05,5,"Pfizer/BioNTech, Sinovac",Department of Statistics and Health Information,https://www.gob.cl/yomevacuno/
China,CHN,01/02/2021,1397715000.00,,,,,836020,,,,581,"Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac",National Health Commission,https://global.chinadaily.com.cn/a/202103/03/WS603ec65ba31024ad0baac40f.html
Costa Rica,CRI,01/02/2021,5047561.00,57701,45863,11838,,1368,1.13,0.9,0.23,269,Pfizer/BioNTech,Costa Rican Social Security Fund,https://www.ccss.sa.cr/web/coronavirus/vacunacion
Croatia,HRV,01/02/2021,4067500.00,83928,58829,25099,,1992,2.04,1.43,0.61,485,Pfizer/BioNTech,Ministry of Health,https://www.rtl.hr/vijesti-hr/novosti/hrvatska/3994562/rtlhr-doznaje-evo-koliko-je-cijepljenih-u-hrvatskoj-i-kako-stojimo-u-odnosu-na-druge-zemlje/
Cyprus,CYP,01/02/2021,1198575.00,,,,,1093,,,,1248,Pfizer/BioNTech,Government of Cyprus,https://www.pio.gov.cy/coronavirus/uploads/08032021--%CE%A1%CE%B1%CE%BD%CF%84%CE%B5%CE%B2%CE%BF%CF%8D%20%CE%B3%CE%B9%CE%B1%20%CE%B5%CE%BC%CE%B2%CE%BF%CE%BB%CE%B9%CE%B1%CF%83%CE%BC%CF%8C%20%CE%BA%CE%B1%CF%84%CE%AC%20%CF%84%CE%B7%CF%82%20COVID-19.pdf
Czech Republic,CZE,01/02/2021,10669709.00,290758,243234,47524,11658,10031,2.72,2.27,0.44,937,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://onemocneni-aktualne.mzcr.cz/covid-19
Denmark,DNK,01/02/2021,5818553.00,283402,186802,96600,8625,10096,4.89,3.23,1.67,1743,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Statens Serum Institut,https://covid19.ssi.dk/overvagningsdata/vaccinationstilslutning
Ecuador,ECU,01/02/2021,17373662.00,,,,,454,,,,26,Pfizer/BioNTech,Government of Ecuador via Ecuacovid,https://github.com/andrab/ecuacovid
United Kingdom,,01/02/2021,66834405.00,8825371,8362868,462503,282109,345688,15.68,14.86,0.82,6142,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
Estonia,EST,01/02/2021,1326590.00,38594,28186,10408,539,1781,2.91,2.12,0.78,1343,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",National Health Board,https://www.terviseamet.ee/et/uudised/covid-19-blogi-11-marts-oopaevaga-lisandus-1957-positiivset-testi
Faroe Islands,FRO,01/02/2021,53358.00,,,,,83,,,,1699,"Moderna, Pfizer/BioNTech",Government of the Faeroe Islands,https://corona.fo/api
Finland,FIN,01/02/2021,5520314.00,163760,145557,18203,,7587,2.96,2.63,0.33,1369,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Finnish Institute for Health and Welfare,https://sampo.thl.fi/pivot/prod/en/vaccreg/cov19cov/fact_cov19cov?column=measure-533185.533172.433796.533175&row=cov_vac_dose-533174L
France,FRA,01/02/2021,67059887.00,1609072,1541079,67993,75442,76290,2.37,2.27,0.1,1125,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Public Health France,https://www.data.gouv.fr/fr/datasets/donnees-relatives-aux-personnes-vaccinees-contre-la-covid-19-1/
Germany,DEU,01/02/2021,83132799.00,2595885,1961409,634476,117583,94634,3.1,2.34,0.76,1130,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Robert Koch Institut,https://impfdashboard.de/
Gibraltar,GIB,01/02/2021,34003.00,14299,12974,1325,1013,537,42.44,38.51,3.93,15939,Pfizer/BioNTech,Government of Gibraltar,https://twitter.com/GibraltarGov/status/1370393963312582658
Greece,GRC,01/02/2021,10716322.00,293817,247251,46566,,16267,2.82,2.37,0.45,1561,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
Greenland,GRL,01/02/2021,56081.00,,,,,77,,,,1356,Pfizer/BioNTech,Government of Greenland,https://knr.gl/da/nyheder/overblik-s%C3%A5-langt-er-gr%C3%B8nland-med-vaccinere
Guernsey,GGY,01/02/2021,65573.00,,,,,604,,,,9008,Pfizer/BioNTech,Government of Guernsey,https://covid19.gov.gg/guidance/vaccine
Hungary,HUN,01/02/2021,9769949.00,311662,243136,68526,12524,21335,3.23,2.52,0.71,2209,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Government of Hungary,https://koronavirus.gov.hu/cikkek/1-millio-293-ezer-beoltottak-szama-9444-az-uj-fertozott-es-elhunyt-163-beteg
Iceland,ISL,01/02/2021,361313.00,,,,,189,,,,554,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Directorate of Health,https://www.covid.is/tolulegar-upplysingar-boluefni
India,IND,01/02/2021,1366417754.00,3950156,3950156,,191313,275192,0.29,0.29,,199,"Covaxin, Oxford/AstraZeneca",Ministry of Health,http://mohfw.gov.in/pdf/CumulativeCOVIDVaccinationCoverageReport12thMarch2021.pdf
Indonesia,IDN,01/02/2021,270203917.00,574938,539532,35406,59257,58997,0.21,0.2,0.01,216,Sinovac,Ministry of Health,https://www.kemkes.go.id/article/view/21030300004/Situasi-Vaksinasi-COVID-19.html
Ireland,IRL,01/02/2021,5007069.00,,,,,8118,,,,1644,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Heath Service Executive,https://covid19ireland-geohive.hub.arcgis.com/
Isle of Man,IMN,01/02/2021,84584.00,,,,,533,,,,6268,"Oxford/AstraZeneca, Pfizer/BioNTech",Isle of Man Government,https://covid19.gov.im/general-information/covid-19-vaccination-statistics/
